"","homevalue","nbhd","county","units"
"1",488900,"South Park Hill","Denver County",1
"2",408300,"South Park Hill","Denver County",1
"3",457200,"South Park Hill","Denver County",1
"4",418300,"South Park Hill","Denver County",1
"5",433400,"South Park Hill","Denver County",1
"6",401600,"South Park Hill","Denver County",1
"7",597400,"South Park Hill","Denver County",1
"8",505400,"South Park Hill","Denver County",1
"9",670800,"South Park Hill","Denver County",1
"10",562900,"South Park Hill","Denver County",1
"11",555100,"South Park Hill","Denver County",2
"12",502400,"South Park Hill","Denver County",2
"13",314700,"South Park Hill","Denver County",1
"14",423900,"South Park Hill","Denver County",1
"15",452400,"South Park Hill","Denver County",2
"16",372300,"South Park Hill","Denver County",1
"17",429000,"South Park Hill","Denver County",1
"18",501900,"South Park Hill","Denver County",2
"19",949200,"South Park Hill","Denver County",1
"20",475000,"South Park Hill","Denver County",1
